    Iter     M1(i)      T1(i)      M2(i)      T2(i)      U1(i)      U2(i)
   1.000   1.000000   1.000000   1.000000   1.000000   0.751779   0.824634
   2.000   0.998534   0.998712   0.997450   0.998588   0.201589   0.830701
   3.000   0.997074   0.998360   0.994907   0.997166   0.605887   0.178032
   4.000   0.995619   0.997320   0.992372   0.996853   0.322799   0.537505
   5.000   0.994168   0.996761   0.989842   0.995929   0.866005   0.871911
   6.000   0.992722   0.995278   0.987318   0.994436   0.226090   0.876474
   7.000   0.991283   0.994884   0.984802   0.992935   0.865734   0.488301
   8.000   0.989847   0.993402   0.982293   0.992094   0.740224   0.213509
   9.000   0.988418   0.992133   0.979791   0.991719   0.437409   0.832588
  10.000   0.986995   0.991378   0.977294   0.990293   0.733766   0.867594
  11.000   0.985576   0.990120   0.974804   0.988806   0.624593   0.128569
  12.000   0.984164   0.989048   0.972321   0.988575   0.779303   0.847195
  13.000   0.982756   0.987712   0.969843   0.987123   0.642988   0.706192
  14.000   0.981355   0.986608   0.967373   0.985910   0.694506   0.413782
  15.000   0.979959   0.985416   0.964909   0.985194   0.624382   0.236949
  16.000   0.978568   0.984343   0.962451   0.984779   0.664837   0.125466
  17.000   0.977183   0.983201   0.959998   0.984552   0.321538   0.136937
  18.000   0.975803   0.982643   0.957550   0.984307   0.177705   0.758766
  19.000   0.974428   0.982329   0.955107   0.983004   0.655863   0.353680
  20.000   0.973056   0.981202   0.952670   0.982389   0.860178   0.127557
  21.000   0.971690   0.979727   0.950239   0.982158   0.450995   0.405247
  22.000   0.970330   0.978948   0.947813   0.981456   0.712413   0.736160
  23.000   0.968974   0.977725   0.945392   0.980190   0.249498   0.491812
  24.000   0.967625   0.977288   0.942978   0.979340   0.456469   0.617050
  25.000   0.966279   0.976499   0.940569   0.978277   0.667492   0.703749
  26.000   0.964937   0.975352   0.938167   0.977066   0.320820   0.643762
  27.000   0.963601   0.974794   0.935772   0.975957   0.624078   0.230089
  28.000   0.962270   0.973720   0.933382   0.975551   0.195198   0.498691
  29.000   0.960943   0.973375   0.930998   0.974688   0.867795   0.372309
  30.000   0.959620   0.971887   0.928619   0.974040   0.568214   0.279050
  31.000   0.958303   0.970908   0.926246   0.973550   0.701014   0.304076
  32.000   0.956991   0.969702   0.923877   0.973017   0.504766   0.659261
  33.000   0.955685   0.968831   0.921514   0.971881   0.812723   0.867433
  34.000   0.954383   0.967436   0.919157   0.970390   0.537772   0.210900
  35.000   0.953087   0.966508   0.916806   0.970016   0.219435   0.306007
  36.000   0.951796   0.966121   0.914461   0.969479   0.772574   0.303426
  37.000   0.950508   0.964793   0.912120   0.968947   0.751428   0.294820
  38.000   0.949226   0.963502   0.909785   0.968429   0.843411   0.379987
  39.000   0.947950   0.962054   0.907454   0.967766   0.257276   0.300867
  40.000   0.946679   0.961602   0.905128   0.967238   0.592836   0.478631
  41.000   0.945412   0.960579   0.902808   0.966407   0.381328   0.764663
  42.000   0.944150   0.959917   0.900493   0.965090   0.568211   0.539779
